filename,source,width,height,raw_yolo_boxes,service_yolo_boxes,box_coords,confidences,max_pairwise_iou,note
e2bd7c66-3db0-481d-9dbf-c3001323f592.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
e6b5b0c1-84f6-4909-a54f-cd872ad61910.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
e6fc5de3-3715-4c93-9f09-3d1f34bfc031.jpg,backend/uploads,554,554,1,1,"24,99,518,443",0.753,,
e79045c1-1790-4be8-9aff-958de4bff312.jpg,backend/uploads,246,184,1,1,"9,22,242,170",0.618,,
ea0462ed-004e-4c78-9984-e6cce05bd026.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
ea9850bf-650d-43a8-8f92-1ab296c1edee.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
f09cae39-5f4d-4670-bf50-aacc364d83e8.jpg,backend/uploads,598,450,1,1,"7,44,594,418",0.836,,
f0c1ff69-bf5a-4678-8bb9-9f4ca542085a.jpg,backend/uploads,500,650,1,1,"10,76,490,585",0.823,,
f8102bf5-08a6-4077-a25c-5bed6ece0afa.jpg,backend/uploads,452,678,0,0,,,,
f86cc7ad-0aeb-4b1c-a2fa-d5e534192a58.jpg,backend/uploads,452,678,1,1,"7,151,432,642",0.483,,
f954119a-48bd-485f-ad5e-b6fdcd85ffc5.jpg,backend/uploads,598,450,1,1,"7,44,594,418",0.836,,
fb39fb07-74bd-4efe-8faf-9d256513b334.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
ff52cb41-0142-452b-8a70-1c05a3f4cde2.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
